T,i,m,e
O,p,e,n
C,l,o,s,e
H,i,g,h
L,o,w
2024-10-05 09:00:00,1.0975,1.0975,1.0975,1.0975
2024-10-05 08:59:00,1.0975,1.0975,1.0975,1.0975
2024-10-05 08:58:00,1.0975,1.0975,1.0975,1.0975
2024-10-05 08:57:00,1.0975,1.0975,1.0975,1.0975
2024-10-05 08:56:00,1.0975,1.0975,1.0975,1.0975
2024-10-05 08:55:00,1.0975,1.0975,1.0975,1.0975
2024-10-05 08:54:00,1.0975,1.0975,1.0975,1.0975
2024-10-05 08:53:00,1.0975,1.0975,1.0975,1.0975
2024-10-05 08:52:00,1.0975,1.0975,1.0975,1.0975
2024-10-05 08:51:00,1.0975,1.0975,1.0975,1.0975
2024-10-05 08:50:00,1.0975,1.0975,1.0975,1.0975
2024-10-05 08:49:00,1.0975,1.0975,1.0975,1.0975
2024-10-05 08:48:00,1.0975,1.0975,1.0975,1.0975
2024-10-05 08:47:00,1.0975,1.0975,1.0975,1.0975
2024-10-05 08:46:00,1.0975,1.0975,1.0975,1.0975
2024-10-05 08:45:00,1.0975,1.0975,1.0975,1.0975
2024-10-05 08:44:00,1.0975,1.0975,1.0975,1.0975
2024-10-05 08:43:00,1.0975,1.0975,1.0975,1.0975
2024-10-05 08:42:00,1.0975,1.0975,1.0975,1.0975
2024-10-05 08:41:00,1.0975,1.0975,1.0975,1.0975
2024-10-05 08:40:00,1.0975,1.0975,1.0975,1.0975
2024-10-05 08:39:00,1.0975,1.0975,1.0975,1.0975
2024-10-05 08:38:00,1.0975,1.0975,1.0975,1.0975
2024-10-05 08:37:00,1.0975,1.0975,1.0975,1.0975
2024-10-05 08:36:00,1.0975,1.0975,1.0975,1.0975
2024-10-05 08:35:00,1.0975,1.0975,1.0975,1.0975
2024-10-05 08:34:00,1.0975,1.0975,1.0975,1.0975
2024-10-05 08:33:00,1.0975,1.0975,1.0975,1.0975
2024-10-05 08:32:00,1.0975,1.0975,1.0975,1.0975
2024-10-05 08:31:00,1.0975,1.0975,1.0975,1.0975
2024-10-05 08:30:00,1.0975,1.0975,1.0975,1.0975
2024-10-05 08:29:00,1.0975,1.0975,1.0975,1.0975
2024-10-05 08:28:00,1.0975,1.0975,1.0975,1.0975
2024-10-05 08:27:00,1.0975,1.0975,1.0975,1.0975
2024-10-05 08:26:00,1.0975,1.0975,1.0975,1.0975
2024-10-05 08:25:00,1.0975,1.0975,1.0975,1.0975
2024-10-05 08:24:00,1.0975,1.0975,1.0975,1.0975
2024-10-05 08:23:00,1.0975,1.0975,1.0975,1.0975
2024-10-05 08:22:00,1.0975,1.0975,1.0975,1.0975
2024-10-05 08:21:00,1.0975,1.0975,1.0975,1.0975
2024-10-05 08:20:00,1.0975,1.0975,1.0975,1.0975
2024-10-05 08:19:00,1.0975,1.0975,1.0975,1.0975
2024-10-05 08:18:00,1.0975,1.0975,1.0975,1.0975
2024-10-05 08:17:00,1.0975,1.0975,1.0975,1.0975
2024-10-05 08:16:00,1.0975,1.0975,1.0975,1.0975
2024-10-05 08:15:00,1.0975,1.0975,1.0975,1.0975
2024-10-05 08:14:00,1.0975,1.0975,1.0975,1.0975
